,xs,ys,is_bin_or_fit,dotmode,subj
207,5150.0,0.8839801022756502,fit,2d,KRM
208,5183.333333333334,0.8839801022756502,fit,2d,KRM
209,5200.0,0.8839801022756502,fit,2d,KRM
210,5233.333333333333,0.8839801022756502,fit,2d,KRM
211,5250.0,0.8839801022756502,fit,2d,KRM
212,5283.333333333333,0.8839801022756502,fit,2d,KRM
213,5300.0,0.8839801022756502,fit,2d,KRM
214,5316.666666666666,0.8839801022756502,fit,2d,KRM
215,5350.0,0.8839801022756502,fit,2d,KRM
216,5366.666666666666,0.8839801022756502,fit,2d,KRM
217,5450.0,0.8839801022756502,fit,2d,KRM
218,5466.666666666667,0.8839801022756502,fit,2d,KRM
219,5483.333333333333,0.8839801022756502,fit,2d,KRM
220,5516.666666666667,0.8839801022756502,fit,2d,KRM
221,5533.333333333333,0.8839801022756502,fit,2d,KRM
222,5566.666666666666,0.8839801022756502,fit,2d,KRM
223,5583.333333333333,0.8839801022756502,fit,2d,KRM
224,5616.666666666666,0.8839801022756502,fit,2d,KRM
225,5633.333333333334,0.8839801022756502,fit,2d,KRM
226,5650.0,0.8839801022756502,fit,2d,KRM
227,5733.333333333333,0.8839801022756502,fit,2d,KRM
228,5750.0,0.8839801022756502,fit,2d,KRM
229,5783.333333333333,0.8839801022756502,fit,2d,KRM
230,5800.0,0.8839801022756502,fit,2d,KRM
231,5816.666666666666,0.8839801022756502,fit,2d,KRM
232,5850.0,0.8839801022756502,fit,2d,KRM
233,5866.666666666666,0.8839801022756502,fit,2d,KRM
234,5900.0,0.8839801022756502,fit,2d,KRM
235,5916.666666666667,0.8839801022756502,fit,2d,KRM
236,5950.0,0.8839801022756502,fit,2d,KRM
0,40.00000000000001,0.5075187969924813,bin,3d,KRM
1,50.20423174968514,0.5493421052631579,bin,3d,KRM
2,66.69461096226564,0.5338345864661654,bin,3d,KRM
3,83.70879263011685,0.5885167464114832,bin,3d,KRM
4,100.26993840875744,0.5479876160990712,bin,3d,KRM
5,116.68188870368775,0.6263157894736842,bin,3d,KRM
6,150.6940604959061,0.6453089244851259,bin,3d,KRM
7,183.86605448970766,0.6578947368421053,bin,3d,KRM
8,219.86823945484173,0.6578947368421053,bin,3d,KRM
9,268.2302729048933,0.748995983935743,bin,3d,KRM
10,333.9779707197085,0.674373795761079,bin,3d,KRM
11,419.2440182287827,0.7125307125307125,bin,3d,KRM
12,501.0472823777825,0.7380952380952381,bin,3d,KRM
13,618.2486462735641,0.7154150197628458,bin,3d,KRM
14,767.1924810001431,0.7336448598130841,bin,3d,KRM
15,935.9434953383347,0.6968503937007874,bin,3d,KRM
16,1155.3752779078673,0.875,bin,3d,KRM
17,1444.7698744769878,0.6818181818181818,bin,3d,KRM
18,1754.8117154811716,0.5714285714285714,bin,3d,KRM
19,2136.4016736401672,0.6176470588235294,bin,3d,KRM
20,2637.2384937238494,0.7142857142857143,bin,3d,KRM
21,3233.47280334728,0.7777777777777778,bin,3d,KRM
22,4020.5020920502097,0.6333333333333333,bin,3d,KRM
23,4879.07949790795,0.625,bin,3d,KRM
0,33.333333333333336,0.5372852833329281,fit,3d,KRM
1,50.0,0.5535392218216653,fit,3d,KRM
2,66.66666666666667,0.5683834347331129,fit,3d,KRM
3,83.33333333333333,0.5819401894306329,fit,3d,KRM
4,100.0,0.5943211488674918,fit,3d,KRM
5,116.66666666666667,0.6056282913213703,fit,3d,KRM
6,133.33333333333334,0.6159547503590828,fit,3d,KRM
7,150.0,0.6253855819500453,fit,3d,KRM
8,166.66666666666666,0.6339984650469798,fit,3d,KRM
9,183.33333333333331,0.6418643414043251,fit,3d,KRM
10,200.0,0.6490479999043536,fit,3d,KRM
11,216.66666666666669,0.6556086102039093,fit,3d,KRM
12,233.33333333333334,0.6616002100972596,fit,3d,KRM
13,250.0,0.6670721506093225,fit,3d,KRM
14,266.6666666666667,0.6720695024853691,fit,3d,KRM
15,283.3333333333333,0.6766334274253374,fit,3d,KRM
16,300.0,0.6808015171205027,fit,3d,KRM
17,316.66666666666663,0.6846081028850494,fit,3d,KRM
18,333.3333333333333,0.6880845384328873,fit,3d,KRM
19,350.0,0.6912594581288607,fit,3d,KRM
20,366.66666666666663,0.6941590128414883,fit,3d,KRM
21,383.33333333333337,0.6968070853398837,fit,3d,KRM
22,400.0,0.6992254870090157,fit,3d,KRM
23,416.6666666666667,0.7014341375035941,fit,3d,KRM
24,433.33333333333337,0.7034512288203364,fit,3d,KRM
25,450.0,0.7052933751400301,fit,3d,KRM
26,466.6666666666667,0.7069757496735944,fit,3d,KRM
27,483.3333333333333,0.7085122096393025,fit,3d,KRM
28,500.0,0.7099154104005636,fit,3d,KRM
29,516.6666666666667,0.7111969097043845,fit,3d,KRM
30,533.3333333333334,0.7123672628790918,fit,3d,KRM
31,550.0,0.713436109775429,fit,3d,KRM
32,566.6666666666666,0.7144122541671384,fit,3d,KRM
33,583.3333333333334,0.7153037362650244,fit,3d,KRM
34,600.0,0.7161178989417771,fit,3d,KRM
35,616.6666666666667,0.7168614482130289,fit,3d,KRM
36,633.3333333333333,0.717540508472809,fit,3d,KRM
37,650.0,0.7181606729383546,fit,3d,KRM
38,666.6666666666666,0.7187270497197762,fit,3d,KRM
39,683.3333333333334,0.7192443038940396,fit,3d,KRM
40,700.0,0.7197166959298175,fit,3d,KRM
41,716.6666666666666,0.7201481167797005,fit,3d,KRM
42,733.3333333333333,0.7205421199288167,fit,3d,KRM
43,750.0,0.7209019506638298,fit,3d,KRM
44,766.6666666666667,0.7212305728034003,fit,3d,KRM
45,783.3333333333334,0.7215306931102774,fit,3d,KRM
46,800.0,0.7218047835860978,fit,3d,KRM
47,816.6666666666666,0.7220551018325275,fit,3d,KRM
48,833.3333333333334,0.722283709646455,fit,3d,KRM
49,850.0,0.7224924900023985,fit,3d,KRM
50,866.6666666666667,0.722683162562006,fit,3d,KRM
51,883.3333333333333,0.7228572978383976,fit,3d,KRM
52,900.0,0.723016330132013,fit,3d,KRM
53,916.6666666666666,0.7231615693445189,fit,3d,KRM
54,933.3333333333334,0.7232942117680782,fit,3d,KRM
55,950.0,0.7234153499388525,fit,3d,KRM
56,966.6666666666666,0.7235259816358977,fit,3d,KRM
