,subj,dotmode,di,dur,x,y,ntrials
51,ALL,2d,11,0.45,0.06,0.7219882055602359,1187.0
52,ALL,2d,11,0.45,0.12,0.8839738941261784,1379.0
53,ALL,2d,11,0.45,0.25,0.9586206896551724,1305.0
54,ALL,2d,11,0.45,0.5,0.9967373572593801,1226.0
55,ALL,2d,12,0.5833333333333334,0.03,0.6380189366351056,1373.0
56,ALL,2d,12,0.5833333333333334,0.06,0.7533632286995515,1338.0
57,ALL,2d,12,0.5833333333333334,0.12,0.8889722430607652,1333.0
58,ALL,2d,12,0.5833333333333334,0.25,0.9772256728778468,1449.0
59,ALL,2d,12,0.5833333333333334,0.5,0.9963289280469897,1362.0
60,ALL,2d,13,0.7666666666666667,0.03,0.671396564600448,1339.0
61,ALL,2d,13,0.7666666666666667,0.06,0.8123515439429929,1263.0
62,ALL,2d,13,0.7666666666666667,0.12,0.9167374681393373,1177.0
63,ALL,2d,13,0.7666666666666667,0.25,0.9757785467128027,1156.0
64,ALL,2d,13,0.7666666666666667,0.5,0.9953917050691244,1302.0
65,ALL,2d,14,0.9833333333333333,0.03,0.7017543859649122,684.0
66,ALL,2d,14,0.9833333333333333,0.06,0.8095238095238095,735.0
67,ALL,2d,14,0.9833333333333333,0.12,0.9345794392523364,749.0
68,ALL,2d,14,0.9833333333333333,0.25,0.9692307692307692,910.0
69,ALL,2d,14,0.9833333333333333,0.5,0.9940417080436942,1007.0
70,ALL,2d,15,1.2666666666666666,0.03,0.7373271889400922,217.0
71,ALL,2d,15,1.2666666666666666,0.06,0.6851851851851852,216.0
72,ALL,2d,15,1.2666666666666666,0.12,0.9568345323741008,278.0
73,ALL,2d,15,1.2666666666666666,0.25,0.9660377358490566,265.0
74,ALL,2d,15,1.2666666666666666,0.5,0.982078853046595,279.0
75,ALL,2d,16,1.65,0.03,0.7364341085271318,129.0
76,ALL,2d,16,1.65,0.06,0.9029126213592233,103.0
77,ALL,2d,16,1.65,0.12,1.0,85.0
78,ALL,2d,16,1.65,0.25,1.0,88.0
79,ALL,2d,16,1.65,0.5,1.0,133.0
80,ALL,2d,17,2.1333333333333333,0.03,0.564625850340136,147.0
81,ALL,2d,17,2.1333333333333333,0.06,0.7862068965517242,145.0
82,ALL,2d,17,2.1333333333333333,0.12,0.9041095890410958,219.0
83,ALL,2d,17,2.1333333333333333,0.25,1.0,174.0
84,ALL,2d,17,2.1333333333333333,0.5,1.0,186.0
85,ALL,2d,18,2.75,0.03,0.6681818181818182,220.0
86,ALL,2d,18,2.75,0.06,0.8026315789473685,228.0
87,ALL,2d,18,2.75,0.12,0.9317073170731708,205.0
88,ALL,2d,18,2.75,0.25,1.0,204.0
89,ALL,2d,18,2.75,0.5,0.9831932773109243,238.0
90,ALL,2d,19,3.566666666666667,0.03,0.6733067729083665,251.0
91,ALL,2d,19,3.566666666666667,0.06,0.9172932330827067,266.0
92,ALL,2d,19,3.566666666666667,0.12,0.950354609929078,282.0
93,ALL,2d,19,3.566666666666667,0.25,1.0,295.0
