,coh,di,dotmode,dur,ntrials,pc,se,subj
34,0.5,10,3d,0.3333333333333333,1015,0.9230295566502463,0.008556853459776578,ALL
35,0.5,11,3d,0.4166666666666667,1037,0.9584030858244937,0.006123685810908845,ALL
36,0.5,12,3d,0.5,1309,0.9541375095492742,0.005690641015381422,ALL
37,0.5,13,3d,0.6166666666666667,1060,0.9685792452830189,0.005261535621166073,ALL
38,0.5,14,3d,0.7666666666666667,1175,0.9517634042553191,0.006510879864401465,ALL
39,0.5,15,3d,0.9333333333333333,956,0.9509487447698745,0.006708004583873879,ALL
40,0.5,16,3d,1.15,693,0.9525598845598845,0.007865394947880671,ALL
41,0.5,17,3d,1.4,198,0.9799747474747473,0.009968410812557454,ALL
42,0.5,18,3d,1.75,81,0.9282716049382715,0.029093538747776655,ALL
43,0.5,19,3d,2.1333333333333333,165,0.9880969696969698,0.008559624397882559,ALL
44,0.5,20,3d,2.6333333333333333,143,0.9726853146853147,0.013726645759449744,ALL
45,0.5,21,3d,3.2333333333333334,204,0.9513578431372548,0.01535408201528037,ALL
46,0.5,22,3d,3.966666666666667,272,0.9002794117647058,0.018639498609594296,ALL
47,0.5,23,3d,4.866666666666666,296,0.983125,0.007449180176362303,ALL
48,0.06,0,3d,0.03333333333333333,1014,0.46152366863905325,0.015008370820706893,ALL
49,0.06,1,3d,0.05,1326,0.5281561085972851,0.01399884712564592,ALL
50,0.06,2,3d,0.06666666666666667,1085,0.5114377880184331,0.01567674516969244,ALL
51,0.06,3,3d,0.08333333333333333,838,0.5564415274463007,0.017948359620696012,ALL
52,0.06,4,3d,0.1,1031,0.4943928225024248,0.015223064187348543,ALL
53,0.06,5,3d,0.11666666666666667,1238,0.6070630048465266,0.013725238056592657,ALL
54,0.06,6,3d,0.15,1030,0.5900611650485437,0.015216552752988766,ALL
55,0.06,7,3d,0.18333333333333332,783,0.6430753512132823,0.016686786832185413,ALL
56,0.06,8,3d,0.21666666666666667,1282,0.6268112324492979,0.013110821589905688,ALL
57,0.06,9,3d,0.26666666666666666,1072,0.6436287313432836,0.013711898557327155,ALL
58,0.06,10,3d,0.3333333333333333,1291,0.6331309062742061,0.013579019670392049,ALL
59,0.06,11,3d,0.4166666666666667,940,0.6258372340425532,0.015541240534920151,ALL
60,0.06,12,3d,0.5,980,0.6137081632653061,0.01567546336280108,ALL
61,0.06,13,3d,0.6166666666666667,1327,0.6789615674453655,0.0131609739780672,ALL
62,0.06,14,3d,0.7666666666666667,1055,0.5983336492890996,0.015474000970769964,ALL
63,0.06,15,3d,0.9333333333333333,1354,0.6250937961595273,0.013705536376373636,ALL
64,0.06,16,3d,1.15,271,0.7195276752767527,0.02696033923839749,ALL
65,0.06,17,3d,1.4,149,0.7186241610738254,0.039087431718293424,ALL
66,0.06,18,3d,1.75,123,0.6997723577235773,0.04081756041565377,ALL
67,0.06,19,3d,2.1333333333333333,78,0.5111153846153846,0.05591321132857177,ALL
68,0.06,20,3d,2.6333333333333333,156,0.7125769230769231,0.03567855357707691,ALL
69,0.06,21,3d,3.2333333333333334,192,0.6447708333333333,0.03536933897382026,ALL
