,A,B,T,bi,dotmode,coh,subj
47,0.7285765249777604,0.5,199.23235303496526,47,3d,0.12,ALL
48,0.7256191122906882,0.5,176.58892562016922,48,3d,0.12,ALL
49,0.7242536237565931,0.5,169.91336057640444,49,3d,0.12,ALL
0,0.9614496006813635,0.5,81.25069925275945,0,3d,0.5,ALL
1,0.95581173074969,0.5,81.1548295470965,1,3d,0.5,ALL
2,0.9573159036672614,0.5,84.98073168742476,2,3d,0.5,ALL
3,0.9552378479177841,0.5,83.07297573777228,3,3d,0.5,ALL
4,0.9623162078264422,0.5,87.32641986220426,4,3d,0.5,ALL
5,0.9575551721218819,0.5,78.02426130576679,5,3d,0.5,ALL
6,0.9609656234146688,0.5,88.4339921450755,6,3d,0.5,ALL
7,0.9592866409712005,0.5,83.9102067935046,7,3d,0.5,ALL
8,0.9569955151951813,0.5,85.11391244879896,8,3d,0.5,ALL
9,0.9613259173365675,0.5,88.50029116593912,9,3d,0.5,ALL
10,0.95980702635426,0.5,84.22357001060244,10,3d,0.5,ALL
11,0.9599690599919747,0.5,82.56320004628584,11,3d,0.5,ALL
12,0.954239388757135,0.5,78.44971200991391,12,3d,0.5,ALL
13,0.9627676968816162,0.5,84.39123992658412,13,3d,0.5,ALL
14,0.9585900764314053,0.5,82.74208176458808,14,3d,0.5,ALL
15,0.9574873686272223,0.5,78.83400506859601,15,3d,0.5,ALL
16,0.957946961903399,0.5,86.17930940610442,16,3d,0.5,ALL
17,0.9578150658255633,0.5,77.17397335585704,17,3d,0.5,ALL
18,0.9594344025973375,0.5,81.74560376729144,18,3d,0.5,ALL
19,0.9576875436340162,0.5,84.18376550857445,19,3d,0.5,ALL
20,0.9562646426414155,0.5,75.73411392960381,20,3d,0.5,ALL
21,0.9634842329632175,0.5,85.03727189729571,21,3d,0.5,ALL
22,0.9605463753539857,0.5,84.68064017555096,22,3d,0.5,ALL
23,0.9604238447509614,0.5,82.62709207149804,23,3d,0.5,ALL
24,0.9596531122705904,0.5,83.95696432889063,24,3d,0.5,ALL
25,0.9658738696377902,0.5,87.1877054266714,25,3d,0.5,ALL
