,coh,dur,pc,dotmode
87,0.5,0.21666666666666667,0.8506493506493507,3d
88,0.5,0.26666666666666666,0.9125,3d
89,0.5,0.35,0.9324009324009324,3d
90,0.5,0.45,0.9387308533916849,3d
91,0.5,0.5833333333333334,0.94831013916501,3d
92,0.5,0.7666666666666667,0.9355555555555556,3d
93,0.5,0.9833333333333333,0.9429824561403509,3d
94,0.5,1.2666666666666666,0.9479166666666666,3d
95,0.5,1.65,0.9375,3d
96,0.5,2.1333333333333333,0.975,3d
97,0.5,2.75,0.9666666666666667,3d
98,0.5,3.566666666666667,0.925,3d
99,0.5,4.616666666666666,0.96,3d
